workerid,face_dft,condition,rating,dft
anon53,70,trustworthy,6.33333333333333,70
anon53,80,trustworthy,6,80
anon53,90,trustworthy,6.33333333333333,90
anon53,100,trustworthy,7.33333333333333,100
anon54,0,trustworthy,7,0
anon54,10,trustworthy,6.66666666666667,10
anon54,20,trustworthy,7,20
anon54,30,trustworthy,6.66666666666667,30
anon54,40,trustworthy,5.66666666666667,40
anon54,50,trustworthy,5.66666666666667,50
anon54,60,trustworthy,5.33333333333333,60
anon54,70,trustworthy,5.33333333333333,70
anon54,80,trustworthy,5.33333333333333,80
anon54,90,trustworthy,5,90
anon54,100,trustworthy,5,100
anon55,0,trustworthy,7,0
anon55,10,trustworthy,7,10
anon55,20,trustworthy,7,20
anon55,30,trustworthy,7,30
anon55,40,trustworthy,7,40
anon55,50,trustworthy,7.66666666666667,50
anon55,60,trustworthy,7.66666666666667,60
anon55,70,trustworthy,7.33333333333333,70
anon55,80,trustworthy,7.66666666666667,80
anon55,90,trustworthy,7.33333333333333,90
anon55,100,trustworthy,8,100
anon56,0,trustworthy,7,0
anon56,10,trustworthy,5.66666666666667,10
anon56,20,trustworthy,5,20
anon56,30,trustworthy,6,30
anon56,40,trustworthy,5,40
anon56,50,trustworthy,6.33333333333333,50
anon56,60,trustworthy,6.66666666666667,60
anon56,70,trustworthy,5.33333333333333,70
anon56,80,trustworthy,5.33333333333333,80
anon56,90,trustworthy,5.66666666666667,90
anon56,100,trustworthy,5.33333333333333,100
anon57,0,trustworthy,6,0
anon57,10,trustworthy,5.33333333333333,10
anon57,20,trustworthy,6.66666666666667,20
anon57,30,trustworthy,7.33333333333333,30
anon57,40,trustworthy,6.66666666666667,40
anon57,50,trustworthy,6.33333333333333,50
anon57,60,trustworthy,6.33333333333333,60
anon57,70,trustworthy,6.33333333333333,70
anon57,80,trustworthy,5,80
anon57,90,trustworthy,4.33333333333333,90
anon57,100,trustworthy,5,100
anon58,0,attractive,4,0
anon58,10,attractive,4.33333333333333,10
anon58,20,attractive,5,20
anon58,30,attractive,5.66666666666667,30
anon58,40,attractive,5.33333333333333,40
anon58,50,attractive,6.66666666666667,50
anon58,60,attractive,7,60
anon58,70,attractive,7.66666666666667,70
anon58,80,attractive,7,80
anon58,90,attractive,7.33333333333333,90
anon58,100,attractive,7.66666666666667,100
anon59,0,attractive,7,0
anon59,10,attractive,7.33333333333333,10
anon59,20,attractive,7.66666666666667,20
anon59,30,attractive,8,30
anon59,40,attractive,8.33333333333333,40
anon59,50,attractive,9,50
anon59,60,attractive,8.66666666666667,60
anon59,70,attractive,9,70
anon59,80,attractive,9,80
anon59,90,attractive,9,90
anon59,100,attractive,9,100
anon6,0,trustworthy,4,0
anon6,10,trustworthy,4,10
anon6,20,trustworthy,4.66666666666667,20
anon6,30,trustworthy,4.33333333333333,30
anon6,40,trustworthy,5.66666666666667,40
anon6,50,trustworthy,6,50
anon6,60,trustworthy,5.66666666666667,60
anon6,70,trustworthy,6,70
anon6,80,trustworthy,6,80
anon6,90,trustworthy,6,90
anon6,100,trustworthy,5.33333333333333,100
anon60,0,attractive,9,0
anon60,10,attractive,9,10
anon60,20,attractive,9,20
anon60,30,attractive,7.66666666666667,30
anon60,40,attractive,7.33333333333333,40
anon60,50,attractive,8,50
anon60,60,attractive,7.33333333333333,60
anon60,70,attractive,7.33333333333333,70
anon60,80,attractive,7,80
anon60,90,attractive,7.33333333333333,90
anon60,100,attractive,7.66666666666667,100
anon61,0,attractive,8,0
anon61,10,attractive,8,10
anon61,20,attractive,8,20
anon61,30,attractive,8.33333333333333,30
anon61,40,attractive,8,40
anon61,50,attractive,8,50
anon61,60,attractive,8.33333333333333,60
anon61,70,attractive,8.66666666666667,70
anon61,80,attractive,8,80
anon61,90,attractive,8.33333333333333,90
anon61,100,attractive,8.33333333333333,100
anon62,0,trustworthy,7,0
anon62,10,trustworthy,6.66666666666667,10
anon62,20,trustworthy,6.66666666666667,20
anon62,30,trustworthy,7,30
anon62,40,trustworthy,6.66666666666667,40
anon62,50,trustworthy,6,50
anon62,60,trustworthy,6.33333333333333,60
anon62,70,trustworthy,7,70
anon62,80,trustworthy,6,80
anon62,90,trustworthy,5.66666666666667,90
anon62,100,trustworthy,6,100
anon63,0,trustworthy,8,0
anon63,10,trustworthy,6.66666666666667,10
anon63,20,trustworthy,7.66666666666667,20
anon63,30,trustworthy,6.33333333333333,30
anon63,40,trustworthy,7.66666666666667,40
anon63,50,trustworthy,8,50
anon63,60,trustworthy,6.66666666666667,60
anon63,70,trustworthy,5.66666666666667,70
anon63,80,trustworthy,6,80
anon63,90,trustworthy,7,90
anon63,100,trustworthy,5.33333333333333,100
anon64,0,trustworthy,5,0
anon64,10,trustworthy,5.33333333333333,10
anon64,20,trustworthy,6.33333333333333,20
anon64,30,trustworthy,6,30
anon64,40,trustworthy,5.66666666666667,40
anon64,50,trustworthy,5.66666666666667,50
anon64,60,trustworthy,5,60
anon64,70,trustworthy,5,70
anon64,80,trustworthy,4.66666666666667,80
anon64,90,trustworthy,4.33333333333333,90
anon64,100,trustworthy,5.33333333333333,100
anon65,0,attractive,7,0
anon65,10,attractive,5.66666666666667,10
anon65,20,attractive,7.66666666666667,20
anon65,30,attractive,6.66666666666667,30
anon65,40,attractive,6.33333333333333,40
anon65,50,attractive,8,50
anon65,60,attractive,6.66666666666667,60
anon65,70,attractive,4.33333333333333,70
anon65,80,attractive,6.66666666666667,80
anon65,90,attractive,4.33333333333333,90
anon65,100,attractive,6,100
anon66,0,trustworthy,4.66666666666667,0
anon66,10,trustworthy,5.33333333333333,10
anon66,20,trustworthy,5,20
anon66,30,trustworthy,4.66666666666667,30
anon66,40,trustworthy,4.33333333333333,40
anon66,50,trustworthy,4,50
anon66,60,trustworthy,4,60
anon66,70,trustworthy,4,70
anon66,80,trustworthy,4,80
anon66,90,trustworthy,4,90
anon66,100,trustworthy,3.66666666666667,100
anon67,0,attractive,6.66666666666667,0
anon67,10,attractive,7,10
anon67,20,attractive,7.33333333333333,20
anon67,30,attractive,7,30
anon67,40,attractive,8.33333333333333,40
anon67,50,attractive,8,50
anon67,60,attractive,8.66666666666667,60
anon67,70,attractive,8.33333333333333,70
anon67,80,attractive,8,80
anon67,90,attractive,8.66666666666667,90
anon67,100,attractive,9,100
anon68,0,trustworthy,4,0
anon68,10,trustworthy,5.33333333333333,10
anon68,20,trustworthy,4.33333333333333,20
anon68,30,trustworthy,5.33333333333333,30
anon68,40,trustworthy,5.33333333333333,40
anon68,50,trustworthy,5.66666666666667,50
anon68,60,trustworthy,5.66666666666667,60
anon68,70,trustworthy,6.33333333333333,70
anon68,80,trustworthy,6.33333333333333,80
anon68,90,trustworthy,6.66666666666667,90
anon68,100,trustworthy,6.66666666666667,100
anon69,0,attractive,6.33333333333333,0
anon69,10,attractive,7.33333333333333,10
anon69,20,attractive,7,20
anon69,30,attractive,6.33333333333333,30
anon69,40,attractive,7.33333333333333,40
anon69,50,attractive,8,50
anon69,60,attractive,8.33333333333333,60
anon69,70,attractive,9,70
anon69,80,attractive,8.33333333333333,80
anon69,90,attractive,9,90
anon69,100,attractive,9,100
anon7,0,trustworthy,7.66666666666667,0
anon7,10,trustworthy,7.66666666666667,10
anon7,20,trustworthy,7.66666666666667,20
